value	HGNC ID
ACTR3P2	HGNC:38676
ACTR3P3	HGNC:38679
ACTR5	HGNC:14671
ACTR6	HGNC:24025
ACTR6P1	HGNC:44210
ACTR8	HGNC:14672
ACTR10	HGNC:17372
ACTRT1	HGNC:24027
ACTRT1P1	HGNC:55127
ACTRT2	HGNC:24026
ACTRT3	HGNC:24022
ACVR1	HGNC:171
ACVR1B	HGNC:172
ACVR1C	HGNC:18123
ACVR2A	HGNC:173
ACVR2B	HGNC:174
ACVR2B-AS1	HGNC:44161
ACVRL1	HGNC:175
ACY1	HGNC:177
ACY3	HGNC:24104
ACYP1	HGNC:179
ACYP2	HGNC:180
ADA	HGNC:186
ADA2	HGNC:1839
ADAD1	HGNC:30713
ADAD1P1	HGNC:44550
ADAD1P2	HGNC:44552
ADAD2	HGNC:30714
ADAL	HGNC:31853
ADAM1A	HGNC:187
ADAM1B	HGNC:44366
ADAM2	HGNC:198
ADAM3A	HGNC:209
ADAM3B	HGNC:210
ADAM5	HGNC:212
ADAM6	HGNC:213
ADAM7	HGNC:214
ADAM7-AS1	HGNC:56152
ADAM7-AS2	HGNC:56153
ADAM8	HGNC:215
ADAM9	HGNC:216
ADAM10	HGNC:188
ADAM11	HGNC:189
ADAM12	HGNC:190
ADAM15	HGNC:193
ADAM17	HGNC:195
ADAM18	HGNC:196
ADAM19	HGNC:197
ADAM20	HGNC:199
ADAM20P1	HGNC:20102
ADAM20P2	HGNC:43901
ADAM20P3	HGNC:43902
ADAM21	HGNC:200
ADAM21P1	HGNC:19822
ADAM22	HGNC:201
ADAM23	HGNC:202
ADAM24P	HGNC:203
ADAM28	HGNC:206
ADAM29	HGNC:207
ADAM30	HGNC:208
ADAM32	HGNC:15479
ADAM33	HGNC:15478
ADAMDEC1	HGNC:16299
ADAMTS1	HGNC:217
ADAMTS2	HGNC:218
ADAMTS3	HGNC:219
ADAMTS4	HGNC:220
ADAMTS5	HGNC:221
ADAMTS6	HGNC:222
ADAMTS7	HGNC:223
ADAMTS7P1	HGNC:49407
ADAMTS7P3	HGNC:49409
ADAMTS7P4	HGNC:49410
ADAMTS8	HGNC:224
ADAMTS9	HGNC:13202
ADAMTS9-AS1	HGNC:40625
ADAMTS9-AS2	HGNC:42435
ADAMTS10	HGNC:13201
ADAMTS12	HGNC:14605
ADAMTS13	HGNC:1366
ADAMTS14	HGNC:14899
ADAMTS15	HGNC:16305
ADAMTS16	HGNC:17108
ADAMTS16-DT	HGNC:55548
ADAMTS17	HGNC:17109
ADAMTS18	HGNC:17110
ADAMTS19	HGNC:17111
ADAMTS19-AS1	HGNC:40797
ADAMTS20	HGNC:17178
ADAMTSL1	HGNC:14632
ADAMTSL2	HGNC:14631
ADAMTSL3	HGNC:14633
ADAMTSL4	HGNC:19706
ADAMTSL4-AS1	HGNC:32041
ADAMTSL4-AS2	HGNC:40895
ADAMTSL5	HGNC:27912
ADAP1	HGNC:16486
ADAP2	HGNC:16487
ADAR	HGNC:225
ADARB1	HGNC:226
ADARB2	HGNC:227
ADARB2-AS1	HGNC:23299
ADAT1	HGNC:228
ADAT2	HGNC:21172
ADAT3	HGNC:25151
ADCK1	HGNC:19038
ADCK2	HGNC:19039
ADCK5	HGNC:21738
ADCP1	HGNC:229
ADCY1	HGNC:232
ADCY2	HGNC:233
ADCY3	HGNC:234
ADCY4	HGNC:235
ADCY5	HGNC:236
ADCY6	HGNC:237
ADCY6-DT	HGNC:53332
ADCY7	HGNC:238
ADCY8	HGNC:239
ADCY9	HGNC:240
ADCY10	HGNC:21285
ADCY10P1	HGNC:44143
ADCYAP1	HGNC:241
ADCYAP1R1	HGNC:242
ADD1	HGNC:243
ADD2	HGNC:244
ADD3	HGNC:245
ADD3-AS1	HGNC:48682
ADGB	HGNC:21212
ADGB-DT	HGNC:55654
ADGRA1	HGNC:13838
ADGRA1-AS1	HGNC:49543
ADGRA2	HGNC:17849
ADGRA3	HGNC:13839
ADGRA3P1	HGNC:55918
ADGRB1	HGNC:943
ADGRB2	HGNC:944
ADGRB3	HGNC:945
ADGRB3-DT	HGNC:55774
ADGRD1	HGNC:19893
ADGRD1-AS1	HGNC:53314
ADGRD2	HGNC:18651
ADGRE1	HGNC:3336
ADGRE2	HGNC:3337
ADGRE3	HGNC:23647
ADGRE4P	HGNC:19240
ADGRE5	HGNC:1711
ADGRF1	HGNC:18990
ADGRF2	HGNC:18991
ADGRF3	HGNC:18989
ADGRF4	HGNC:19011
ADGRF5	HGNC:19030
ADGRF5-AS1	HGNC:40864
ADGRF5P1	HGNC:32922
ADGRF5P2	HGNC:32921
ADGRG1	HGNC:4512
ADGRG2	HGNC:4516
ADGRG3	HGNC:13728
ADGRG4	HGNC:18992
ADGRG5	HGNC:19010
ADGRG6	HGNC:13841
ADGRG7	HGNC:19241
ADGRL1	HGNC:20973
ADGRL1-AS1	HGNC:55309
ADGRL2	HGNC:18582
ADGRL3	HGNC:20974
ADGRL3-AS1	HGNC:50604
ADGRL4	HGNC:20822
ADGRV1	HGNC:17416
ADH1A	HGNC:249
ADH1B	HGNC:250
ADH1C	HGNC:251
ADH4	HGNC:252
ADH5	HGNC:253
ADH5P2	HGNC:22976
ADH5P3	HGNC:22991
ADH5P4	HGNC:21377
ADH5P5	HGNC:54523
ADH6	HGNC:255
ADH7	HGNC:256
ADHFE1	HGNC:16354
ADI1	HGNC:30576
ADI1P1	HGNC:52339
ADI1P2	HGNC:52340
ADI1P3	HGNC:52341
ADIG	HGNC:28606
ADIPINT	HGNC:56273
ADIPOQ	HGNC:13633
ADIPOQ-AS1	HGNC:40648
ADIPOR1	HGNC:24040
ADIPOR1P1	HGNC:44910
ADIPOR1P2	HGNC:44911
ADIPOR2	HGNC:24041
ADIRF	HGNC:24043
ADIRF-AS1	HGNC:45127
ADISSP	HGNC:15873
ADK	HGNC:257
ADM	HGNC:259
ADM-DT	HGNC:55516
ADM2	HGNC:28898
ADM5	HGNC:27293
ADNP	HGNC:15766
ADNP-AS1	HGNC:51227
ADNP2	HGNC:23803
ADO	HGNC:23506
ADORA1	HGNC:262
ADORA2A	HGNC:263
ADORA2A-AS1	HGNC:37122
ADORA2B	HGNC:264
ADORA2BP1	HGNC:265
ADORA3	HGNC:268
ADPGK	HGNC:25250
ADPGK-AS1	HGNC:44144
ADPRH	HGNC:269
ADPRHL1	HGNC:21303
ADPRM	HGNC:30925
ADPRS	HGNC:21304
ADRA1A	HGNC:277
ADRA1B	HGNC:278
ADRA1D	HGNC:280
ADRA2A	HGNC:281
ADRA2B	HGNC:282
ADRA2C	HGNC:283
ADRB1	HGNC:285
ADRB2	HGNC:286
ADRB3	HGNC:288
ADRM1	HGNC:15759
ADSL	HGNC:291
ADSS1	HGNC:20093
ADSS2	HGNC:292
ADTRP	HGNC:21214
AEBP1	HGNC:303
AEBP2	HGNC:24051
AEN	HGNC:25722
AFAP1	HGNC:24017
AFAP1-AS1	HGNC:28141
AFAP1L1	HGNC:26714
AFAP1L2	HGNC:25901
AFDN	HGNC:7137
AFDN-DT	HGNC:21236
AFF1	HGNC:7135
